Starcraft 2,2
Badminton,2
Basketball,4
Rock Climbing,2
Pool/Billiards,3
Ultimate Frisbee,4
Soccer,4
Parkour,3
Table tennis / ping pong,2
Tennis,2
Running,2
Hockey,4
Working Out,2
Poker,4
Card Games,4
Chess,2
Go / Weiqi / Baduk,2
Dinner,3
Dating,2
Coffee,2
Lunch,3
Study Group,4
